location,room_type,bed_type,room_size,ac,attached_bath,parking,kitchen,power_backup,wifi,tv,fridge,wardrobe,study_table,balcony,furnished,rent
Vyttila,Triple,Bunk Bed,268.0,1,1,1,0,1,0,1,0,1,0,1,Fully,34155
Chennai,Double,No Bed,174.0,0,1,0,1,0,1,1,0,0,0,1,Semi,23263
Vyttila,Triple,Single Bed,434.0,0,0,1,0,1,0,0,0,0,0,0,Fully,27868
Palarivattom,Single,King Bed,111.0,1,1,1,0,0,0,0,1,0,0,0,Semi,19790
Trivandrum,Triple,No Bed,328.0,0,0,1,1,0,0,1,0,1,0,1,Unfurnished,23626
Kozhikode,Master,Single Bed,182.0,1,1,0,1,0,1,1,0,0,1,1,Semi,22356
Aluva,Double,Queen Bed,155.0,0,1,1,0,0,1,1,1,1,1,0,Fully,23167
Hyderabad,Quad,Double Bed,490.0,0,0,0,1,1,0,0,1,0,0,1,Unfurnished,42110
Vyttila,Master,Single Bed,263.0,1,0,0,0,1,0,1,0,1,0,0,Unfurnished,21433
Kannur,Triple,Single Bed,276.0,1,0,0,0,1,1,1,0,0,1,0,Unfurnished,19947
Kaloor,Triple,Bunk Bed,262.0,1,1,0,1,1,1,1,0,1,1,1,Fully,32704
Karukachal,Single,Single Bed,108.0,1,0,1,0,0,0,1,0,0,0,1,Unfurnished,8674
Pathanamthitta,Quad,Queen Bed,393.0,0,0,0,1,1,1,1,1,1,0,1,Semi,24960
Kolkata,Studio,No Bed,220.0,0,0,0,0,1,1,1,1,0,1,0,Fully,30657
Mg Road,Double,Double Bed,239.0,1,0,0,1,0,0,0,1,0,1,1,Fully,27514
Edappally,Studio,King Bed,384.0,0,1,1,0,1,0,0,1,1,0,1,Unfurnished,31140
Hyderabad,Master,King Bed,287.0,0,0,0,1,1,0,0,0,0,0,0,Semi,34764
Edappally,Triple,Bunk Bed,265.0,0,1,1,0,0,1,1,0,0,1,1,Semi,25075
Trivandrum,Master,Double Bed,291.0,0,0,1,1,1,0,0,0,1,0,0,Unfurnished,22423
Jaipur,Quad,No Bed,587.0,1,1,1,0,0,0,1,0,1,0,0,Semi,33107
Chennai,Double,King Bed,153.0,0,1,1,0,1,1,1,0,0,0,1,Unfurnished,28309
Kalamassery,Master,Bunk Bed,287.0,1,0,1,0,0,0,1,0,1,1,0,Unfurnished,18458
Fort Kochi,Master,Single Bed,194.0,0,1,1,0,0,0,0,0,0,1,1,Semi,23833
Palarivattom,Triple,Single Bed,310.0,0,0,1,0,0,0,1,0,0,0,0,Unfurnished,23756
Pala,Single,Queen Bed,121.0,1,0,1,0,0,1,0,0,0,1,1,Unfurnished,13096
Karukachal,Studio,Bunk Bed,210.0,1,1,1,1,0,0,0,1,1,1,1,Fully,22851
Trivandrum,Double,Double Bed,141.0,1,0,1,1,1,1,0,0,0,0,1,Fully,23096
Delhi,Master,No Bed,273.0,1,1,0,1,0,1,0,0,0,0,0,Semi,32712
Kannur,Double,Bunk Bed,230.0,0,1,1,0,1,1,1,0,0,0,0,Unfurnished,17287
Other,Quad,No Bed,500.0,1,0,1,1,1,1,1,1,1,1,0,Unfurnished,31081
Bangalore,Quad,Double Bed,467.0,1,1,1,1,1,0,1,0,1,1,1,Semi,54402
Pathanamthitta,Quad,Bunk Bed,430.0,1,0,0,0,0,1,0,0,0,0,1,Fully,27076
Surat,Double,King Bed,184.0,1,1,1,0,1,1,0,0,0,0,1,Semi,25704
Edappally,Triple,King Bed,416.0,0,1,0,0,0,1,1,1,1,0,0,Unfurnished,31988
Other,Double,Single Bed,207.0,0,1,0,1,0,0,0,0,0,1,1,Fully,19917
Kochi,Single,Double Bed,106.0,1,1,1,0,0,1,1,1,0,0,0,Semi,16604
Ahmedabad,Single,Bunk Bed,127.0,0,0,0,0,0,1,0,1,0,1,0,Unfurnished,14684
Other,Studio,Queen Bed,366.0,0,0,0,1,1,1,0,1,0,1,0,Fully,27941
Ranni,Quad,Bunk Bed,540.0,0,1,1,0,1,0,0,0,0,1,1,Fully,26655
Bangalore,Studio,Single Bed,353.0,0,1,1,0,0,1,1,1,1,0,1,Fully,49067
Aluva,Studio,Queen Bed,397.0,0,0,0,1,0,1,0,0,1,0,1,Unfurnished,22983
Ahmedabad,Master,Bunk Bed,199.0,0,0,1,1,0,0,1,1,0,0,1,Fully,26966
Bangalore,Quad,Single Bed,576.0,0,0,0,1,0,1,0,0,0,1,0,Fully,58237
Vyttila,Studio,Queen Bed,241.0,0,0,0,1,0,0,1,0,1,1,1,Semi,30726
Hyderabad,Master,Double Bed,222.0,1,1,0,0,0,0,1,0,0,1,1,Unfurnished,29455
Jaipur,Double,Bunk Bed,232.0,1,0,1,1,0,0,1,0,1,1,0,Fully,22333
Ahmedabad,Master,Bunk Bed,150.0,1,1,1,1,0,1,1,0,1,1,0,Fully,29433
Other,Triple,King Bed,301.0,0,1,0,1,0,1,0,1,1,1,0,Semi,27352
Pala,Single,Bunk Bed,96.0,0,0,1,1,0,1,1,0,0,0,1,Semi,11461
Ranni,Master,Single Bed,182.0,0,1,1,1,0,0,1,1,0,0,0,Semi,15199
Kaloor,Quad,Double Bed,482.0,0,0,0,1,0,1,0,0,0,1,1,Unfurnished,34556
Changanassery,Triple,King Bed,256.0,0,1,0,1,1,0,0,1,1,0,0,Fully,27660
Mumbai,Triple,Single Bed,441.0,1,0,0,1,1,0,1,1,0,0,1,Fully,69803
Aluva,Master,Single Bed,166.0,1,1,1,1,0,0,0,1,1,1,1,Semi,19973
Aluva,Master,Queen Bed,213.0,0,0,0,1,0,0,0,1,0,1,1,Unfurnished,17475
Alappuzha,Master,King Bed,212.0,0,1,1,0,1,0,1,0,1,0,1,Unfurnished,21050
Palakkad,Studio,No Bed,362.0,1,0,1,1,1,1,0,0,1,1,1,Unfurnished,19696
Pathanamthitta,Master,Single Bed,235.0,0,1,0,1,1,0,1,0,1,1,1,Semi,17813
Trivandrum,Single,Queen Bed,87.0,1,0,0,0,0,1,0,1,0,0,1,Semi,15813
Mg Road,Master,Bunk Bed,211.0,0,0,0,0,1,1,0,1,0,0,0,Unfurnished,22667
Hyderabad,Quad,Single Bed,579.0,1,1,1,1,0,1,0,1,0,1,0,Fully,55567
Kannur,Master,Single Bed,277.0,1,1,0,0,0,0,0,1,1,1,1,Unfurnished,19229
Ahmedabad,Single,King Bed,132.0,0,1,1,1,0,0,0,0,0,0,0,Semi,20183
Mg Road,Single,Queen Bed,124.0,0,1,1,1,1,0,0,1,1,1,0,Unfurnished,17042
Pala,Triple,Double Bed,269.0,0,1,1,0,0,0,1,1,1,0,0,Unfurnished,17702
Pathanamthitta,Double,Single Bed,201.0,0,0,0,0,0,0,0,1,0,1,1,Unfurnished,11306
Aluva,Quad,Bunk Bed,380.0,0,1,1,1,1,0,1,0,1,1,0,Unfurnished,23774
Pune,Double,Double Bed,184.0,1,1,1,0,1,0,1,1,1,0,0,Fully,36334
Thrissur,Triple,No Bed,296.0,1,1,0,0,1,1,1,1,0,0,0,Fully,28170
Kozhikode,Double,Queen Bed,190.0,1,0,1,0,0,1,0,0,0,0,1,Fully,24272
Kolkata,Studio,Queen Bed,271.0,0,1,0,1,0,0,1,1,0,0,1,Unfurnished,33305
Ahmedabad,Triple,Single Bed,273.0,1,0,1,1,0,1,1,1,0,1,1,Fully,37847
Kakkanad,Double,Double Bed,221.0,0,0,1,1,1,1,1,1,1,1,0,Unfurnished,20568
Mumbai,Double,Double Bed,166.0,1,1,0,0,1,0,1,1,1,1,0,Unfurnished,46109
Trivandrum,Triple,Double Bed,389.0,0,0,0,1,1,1,1,1,1,0,1,Fully,30919
Pathanamthitta,Double,Bunk Bed,189.0,1,0,0,1,0,0,0,0,1,1,1,Fully,16590
Kochi,Triple,No Bed,387.0,1,0,1,1,0,1,1,0,1,0,0,Unfurnished,24560
Kottayam,Studio,No Bed,293.0,1,0,0,0,0,1,0,0,0,0,1,Semi,20992
Ranni,Studio,Bunk Bed,263.0,0,0,0,1,1,1,0,1,1,1,1,Unfurnished,15950
Palakkad,Single,No Bed,141.0,1,1,0,1,0,0,1,0,0,0,1,Unfurnished,10626
Chennai,Double,No Bed,188.0,1,1,1,1,1,1,0,0,0,0,1,Semi,26556
Fort Kochi,Triple,No Bed,299.0,1,1,1,0,1,1,1,1,0,0,1,Semi,32294
Hyderabad,Triple,Bunk Bed,447.0,1,0,0,1,1,1,1,1,1,0,0,Fully,42351
Bangalore,Triple,Double Bed,288.0,0,0,0,1,0,1,0,0,1,0,1,Unfurnished,43299
Bangalore,Quad,Bunk Bed,367.0,0,1,0,1,1,1,1,1,1,0,0,Semi,57490
Kollam,Quad,Queen Bed,398.0,0,0,1,0,1,1,1,1,0,0,0,Semi,31619
Kollam,Triple,No Bed,442.0,0,1,1,1,0,0,1,0,0,1,1,Fully,26541
Alappuzha,Single,King Bed,145.0,0,1,0,0,0,1,1,1,1,0,0,Fully,19599
Kottayam,Single,No Bed,136.0,0,1,1,0,0,0,1,0,0,0,1,Unfurnished,9453
Pune,Double,Queen Bed,245.0,0,1,0,1,1,1,0,0,0,1,0,Fully,32014
Chennai,Single,Bunk Bed,93.0,1,0,0,0,1,0,1,1,1,1,1,Semi,18161
Bangalore,Single,Single Bed,106.0,0,0,0,0,0,0,1,0,1,1,0,Unfurnished,18463
Karukachal,Triple,Queen Bed,306.0,1,0,1,1,1,0,1,0,0,0,0,Unfurnished,21066
Pune,Quad,No Bed,354.0,0,1,0,1,0,1,1,0,0,1,0,Unfurnished,42140
Kakkanad,Master,Queen Bed,287.0,0,1,1,1,0,1,1,1,1,0,1,Fully,27047
Palarivattom,Double,Single Bed,250.0,0,0,0,1,0,1,0,0,1,1,0,Semi,21592
Jaipur,Double,Double Bed,139.0,1,1,1,0,0,1,0,0,1,0,0,Semi,20072
Delhi,Master,Queen Bed,210.0,1,1,1,0,0,1,0,0,0,1,1,Unfurnished,34010
Kakkanad,Triple,Single Bed,265.0,0,0,0,1,1,0,0,1,0,1,1,Semi,23011
Kolkata,Triple,Double Bed,296.0,0,0,1,1,0,0,0,0,0,1,0,Unfurnished,26260
Thrissur,Quad,No Bed,482.0,1,0,0,0,0,0,1,1,0,0,0,Semi,28536
Delhi,Quad,Single Bed,577.0,1,0,0,1,1,1,1,1,0,1,1,Unfurnished,54365
Pune,Quad,No Bed,527.0,0,1,0,0,0,1,0,0,0,0,1,Unfurnished,43488
Palakkad,Double,Bunk Bed,182.0,0,1,0,0,0,0,0,0,1,1,1,Unfurnished,12798
Chennai,Single,Single Bed,116.0,0,0,1,0,0,1,1,0,0,1,0,Fully,19511
Kannur,Master,Double Bed,248.0,1,1,0,1,0,0,0,1,0,1,0,Fully,22878
Karukachal,Triple,No Bed,274.0,0,1,0,1,0,1,0,1,1,0,0,Unfurnished,15673
Edappally,Studio,No Bed,302.0,1,1,1,0,1,0,0,0,1,0,0,Unfurnished,26352
Kalamassery,Double,King Bed,150.0,1,0,0,1,0,0,0,1,1,0,1,Unfurnished,22789
Kollam,Single,King Bed,137.0,1,1,1,1,0,1,1,1,0,1,0,Unfurnished,19567
Pune,Double,Single Bed,165.0,0,0,0,0,1,0,0,0,0,0,1,Semi,26942
Kochi,Double,Double Bed,196.0,0,0,1,1,1,1,1,0,1,0,1,Semi,21956
Kakkanad,Studio,Single Bed,217.0,1,1,1,0,1,1,0,1,0,1,1,Unfurnished,26982
Fort Kochi,Double,King Bed,226.0,1,0,0,0,1,0,0,1,1,0,0,Semi,28689
Mg Road,Master,Queen Bed,283.0,1,1,1,0,1,0,1,1,1,1,0,Semi,31193
Kollam,Master,No Bed,251.0,0,1,0,0,1,0,1,1,1,0,1,Fully,21316
Ahmedabad,Triple,Double Bed,266.0,1,1,1,0,1,0,0,1,0,0,0,Unfurnished,33063
Trivandrum,Master,King Bed,214.0,0,1,0,1,0,1,1,0,0,1,1,Semi,27411
Changanassery,Single,Single Bed,121.0,1,1,1,0,0,0,1,1,1,0,0,Unfurnished,11877
Bangalore,Double,Bunk Bed,192.0,1,1,0,0,0,1,1,0,1,1,1,Unfurnished,32096
Delhi,Quad,King Bed,370.0,0,1,0,1,0,1,0,0,1,1,1,Semi,57652
Karukachal,Quad,Queen Bed,351.0,1,1,1,1,0,1,1,1,0,0,1,Unfurnished,24206
Mg Road,Triple,Bunk Bed,419.0,1,0,0,0,0,0,1,1,0,1,0,Fully,31847
Mumbai,Master,Single Bed,175.0,1,0,0,1,0,0,0,1,1,1,1,Semi,55481
Aluva,Studio,Bunk Bed,386.0,0,1,0,1,0,1,1,1,0,1,1,Semi,25036
Thrissur,Master,Single Bed,286.0,0,0,0,0,0,0,1,1,0,0,0,Fully,22745
Kolkata,Quad,Single Bed,382.0,0,1,1,0,1,1,0,1,0,0,0,Unfurnished,35639
Pala,Master,No Bed,178.0,0,0,0,0,1,0,1,1,1,1,1,Semi,14318
Kannur,Master,No Bed,188.0,0,1,1,1,0,0,1,0,0,1,0,Fully,19594
Kolkata,Master,No Bed,263.0,0,1,0,0,1,0,1,1,0,1,1,Fully,28242
Delhi,Studio,Queen Bed,343.0,0,1,0,0,1,1,1,0,0,1,0,Fully,45450
Chennai,Triple,Queen Bed,430.0,0,1,1,1,1,0,0,0,1,1,1,Fully,40611
Kannur,Triple,Queen Bed,277.0,1,0,1,1,0,0,1,1,0,1,1,Semi,26001
Mg Road,Quad,Single Bed,559.0,1,0,0,1,0,0,0,0,1,1,1,Fully,44520
Karukachal,Studio,King Bed,314.0,1,1,1,0,1,0,1,1,0,1,1,Semi,26521
Edappally,Master,Single Bed,240.0,1,1,1,0,1,0,1,0,0,0,0,Unfurnished,22158
Chennai,Studio,Single Bed,336.0,0,1,1,0,0,1,0,0,1,1,0,Fully,36492
Jaipur,Master,Bunk Bed,181.0,1,0,1,0,0,0,1,1,1,0,1,Unfurnished,21554
Hyderabad,Studio,Queen Bed,331.0,0,0,1,1,1,0,0,0,0,1,1,Fully,41498
Trivandrum,Single,Double Bed,95.0,1,1,1,1,1,1,1,1,1,1,0,Semi,17807
Kakkanad,Master,Single Bed,236.0,1,1,1,1,1,1,1,1,1,1,0,Unfurnished,23641
Pathanamthitta,Single,No Bed,106.0,1,1,0,1,0,0,1,1,0,0,1,Fully,12662
Kolkata,Triple,King Bed,265.0,1,0,1,1,0,1,0,0,1,0,0,Semi,31549
Kalamassery,Studio,Queen Bed,302.0,0,1,1,1,0,0,1,1,0,0,0,Unfurnished,23385
Vyttila,Double,Bunk Bed,166.0,1,1,0,1,1,0,0,1,1,1,1,Fully,27835
Kozhikode,Triple,King Bed,267.0,1,0,1,0,0,1,0,0,0,0,1,Semi,27905
Pathanamthitta,Quad,No Bed,412.0,0,0,1,0,0,1,0,1,0,0,0,Semi,19613
Vyttila,Quad,Single Bed,502.0,1,1,0,1,0,0,0,0,0,0,1,Fully,39432
Delhi,Quad,No Bed,435.0,1,1,0,1,1,1,1,1,0,1,0,Unfurnished,47999
Pune,Single,Single Bed,89.0,0,0,0,1,1,1,0,0,0,0,1,Unfurnished,18368
Kolkata,Studio,No Bed,344.0,1,0,0,1,0,1,1,1,1,1,0,Fully,33979
Thrissur,Triple,Bunk Bed,435.0,1,0,1,0,0,0,1,0,0,0,0,Semi,24535
Thrissur,Master,No Bed,249.0,0,0,0,1,0,0,1,0,1,0,1,Semi,19419
Kalamassery,Master,No Bed,299.0,0,1,1,0,0,0,1,0,1,1,0,Semi,19746
Pala,Single,Single Bed,111.0,0,1,1,1,1,1,0,1,1,0,1,Unfurnished,11080
Kochi,Double,King Bed,152.0,0,0,1,0,1,0,1,1,1,1,1,Unfurnished,22844
Kolkata,Quad,Queen Bed,529.0,1,1,0,1,1,1,0,1,1,1,0,Fully,44463
Palakkad,Master,Queen Bed,162.0,0,1,0,0,1,0,0,1,1,0,0,Unfurnished,17219
Kozhikode,Double,No Bed,218.0,1,1,0,0,0,1,0,1,1,1,1,Fully,23789
Changanassery,Triple,Double Bed,430.0,0,1,1,0,0,1,1,1,1,0,0,Fully,27415
Mumbai,Quad,Double Bed,461.0,1,0,1,0,0,0,0,0,1,1,0,Semi,76692
Edappally,Double,Bunk Bed,248.0,0,0,1,0,0,1,0,1,1,0,1,Semi,21261
Mg Road,Studio,Bunk Bed,203.0,0,1,0,1,0,0,1,1,0,1,0,Unfurnished,28479
Pune,Single,Double Bed,130.0,1,0,1,0,1,1,1,0,0,0,1,Unfurnished,21881
Palakkad,Quad,Double Bed,537.0,0,1,0,1,1,1,1,0,1,1,0,Semi,30039
Changanassery,Studio,Bunk Bed,295.0,0,0,0,1,1,1,1,1,1,0,0,Semi,21444
Aluva,Triple,Bunk Bed,306.0,0,0,0,1,0,0,1,0,0,0,1,Fully,21808
Bangalore,Master,Single Bed,222.0,0,0,1,1,1,1,1,0,0,0,1,Unfurnished,36152
Kalamassery,Studio,King Bed,315.0,1,0,1,1,1,0,0,0,1,0,1,Semi,28346
Aluva,Master,Queen Bed,275.0,0,0,1,0,0,1,0,0,1,1,0,Semi,19910
Thrissur,Studio,King Bed,244.0,1,1,1,1,1,1,0,0,0,1,0,Semi,32636
Mumbai,Single,Queen Bed,140.0,0,0,0,1,0,0,0,1,0,0,0,Semi,30183
Kollam,Single,King Bed,85.0,1,0,1,1,1,0,1,0,0,1,0,Unfurnished,15295
Kollam,Quad,Single Bed,460.0,0,0,0,1,0,0,1,1,0,0,0,Semi,26236
Aluva,Single,Bunk Bed,128.0,1,1,0,0,0,1,0,0,0,1,1,Unfurnished,11682
Kozhikode,Triple,Queen Bed,323.0,0,0,0,1,1,0,0,1,0,1,1,Semi,27156
Aluva,Quad,Double Bed,370.0,1,0,1,1,0,0,1,0,1,0,1,Semi,26999
Kollam,Master,No Bed,199.0,0,0,1,0,0,0,1,1,1,1,0,Unfurnished,14414
Ahmedabad,Studio,Double Bed,259.0,1,1,1,0,0,1,1,1,0,0,1,Fully,34454
Pune,Quad,Single Bed,526.0,0,0,0,0,1,0,1,0,1,0,1,Fully,53604
Kakkanad,Triple,No Bed,299.0,1,0,1,0,1,0,1,0,0,1,1,Unfurnished,22745
Jaipur,Master,Double Bed,218.0,1,0,1,1,0,0,0,1,1,0,0,Fully,24486
Pathanamthitta,Quad,Single Bed,526.0,1,0,0,0,0,1,1,1,1,1,0,Unfurnished,22993
Kolkata,Double,Bunk Bed,136.0,1,1,1,0,1,1,0,0,1,0,1,Unfurnished,24550
Kollam,Master,King Bed,215.0,0,1,1,1,0,1,0,0,1,0,0,Fully,25990
Pathanamthitta,Quad,No Bed,408.0,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,24034
Palakkad,Double,Bunk Bed,176.0,0,0,1,0,1,0,0,1,1,1,0,Semi,15571
Delhi,Double,Double Bed,180.0,1,0,0,0,1,1,1,1,1,0,0,Unfurnished,29259
Surat,Triple,Double Bed,358.0,0,1,1,0,0,1,0,0,1,1,0,Unfurnished,25111
Kaloor,Single,Single Bed,120.0,0,1,1,0,1,0,1,0,1,1,0,Semi,15735
Chennai,Quad,No Bed,538.0,0,0,1,0,0,1,0,1,1,1,0,Semi,44966
Kollam,Double,Single Bed,157.0,1,0,1,0,1,1,0,1,0,0,1,Fully,18689
Palarivattom,Double,Double Bed,195.0,0,1,0,0,1,0,1,0,0,1,0,Unfurnished,22177
Pathanamthitta,Master,King Bed,295.0,0,1,0,1,1,0,0,1,1,1,1,Fully,23758
Delhi,Triple,Single Bed,309.0,1,1,1,1,0,1,0,1,0,0,1,Semi,43052
Pala,Quad,Bunk Bed,443.0,1,0,0,0,1,1,0,1,0,0,0,Fully,25531
Kakkanad,Master,Single Bed,165.0,0,1,0,0,0,1,1,0,0,1,0,Unfurnished,18443
Jaipur,Quad,Bunk Bed,582.0,0,1,0,0,0,0,0,0,0,0,1,Unfurnished,32746
Surat,Quad,Double Bed,397.0,0,0,1,0,0,0,1,0,0,0,1,Semi,35896
Palakkad,Double,Double Bed,238.0,1,1,1,0,0,1,1,1,1,0,1,Fully,20918
Kozhikode,Studio,Bunk Bed,332.0,0,0,0,1,1,0,1,0,1,0,0,Semi,26456
Pune,Triple,King Bed,285.0,0,0,0,0,0,0,1,0,0,0,0,Semi,37095
Chennai,Master,No Bed,222.0,0,1,0,1,1,0,0,0,0,1,0,Fully,30057
Vyttila,Triple,King Bed,377.0,1,0,1,1,0,0,1,0,0,0,0,Semi,31850
Thrissur,Triple,Queen Bed,401.0,1,0,1,1,0,1,0,1,0,0,0,Semi,30387
Fort Kochi,Triple,King Bed,419.0,0,0,0,0,0,1,1,1,1,0,0,Fully,37095
Kottayam,Triple,Double Bed,320.0,1,0,1,0,0,1,1,1,0,0,0,Fully,24570
Other,Master,Queen Bed,241.0,0,1,0,0,1,0,1,0,1,0,1,Semi,22979
Mg Road,Single,Bunk Bed,105.0,1,0,1,0,0,0,1,0,1,1,0,Fully,18119
Mg Road,Double,Queen Bed,205.0,1,0,0,1,1,0,1,1,1,1,1,Unfurnished,27076
Chennai,Single,King Bed,81.0,0,1,1,0,1,0,1,0,1,1,1,Fully,25202
Trivandrum,Master,King Bed,189.0,1,0,0,0,0,1,1,0,0,0,1,Fully,29954
Fort Kochi,Master,Single Bed,188.0,1,1,0,0,0,1,1,1,0,0,1,Unfurnished,27797
Ahmedabad,Triple,King Bed,406.0,1,0,1,0,0,0,0,0,0,1,1,Fully,38747
Kolkata,Quad,Double Bed,581.0,1,1,0,1,0,1,0,0,0,0,0,Semi,42351
Pathanamthitta,Quad,Double Bed,554.0,0,1,1,0,1,0,1,0,1,0,0,Fully,29888
Mg Road,Master,No Bed,213.0,1,1,1,0,1,0,1,0,0,1,0,Semi,23880
Jaipur,Master,Bunk Bed,193.0,1,0,1,0,0,1,1,1,0,1,1,Unfurnished,20952
Chennai,Double,Double Bed,146.0,0,1,1,1,0,1,1,1,0,0,1,Unfurnished,25662
Changanassery,Quad,Double Bed,354.0,0,0,0,0,0,1,0,1,0,0,0,Unfurnished,22895
Kollam,Double,King Bed,138.0,1,1,0,1,1,1,0,1,0,1,0,Fully,24886
Kannur,Single,Bunk Bed,111.0,1,1,1,0,1,1,1,1,0,0,0,Semi,13678
Thrissur,Triple,Queen Bed,321.0,0,0,1,1,1,1,1,1,0,1,0,Semi,27256
Pune,Quad,No Bed,554.0,0,1,0,1,1,0,0,0,1,1,0,Semi,47580
Vyttila,Single,No Bed,113.0,0,0,0,1,1,0,0,0,0,1,1,Fully,14481
Trivandrum,Studio,King Bed,349.0,0,0,1,0,1,0,0,0,0,0,0,Fully,31863
Palakkad,Quad,King Bed,497.0,0,0,0,0,0,0,1,1,0,1,1,Semi,27284
Kaloor,Quad,King Bed,399.0,0,1,0,1,1,0,0,0,0,1,1,Semi,36965
Kalamassery,Triple,King Bed,271.0,1,0,1,1,0,1,0,0,1,1,0,Unfurnished,27810
Delhi,Single,Queen Bed,84.0,1,1,0,1,0,1,1,1,1,1,0,Unfurnished,25514
Kochi,Triple,Queen Bed,410.0,1,1,1,1,0,0,0,0,1,0,0,Semi,29739
Palakkad,Master,Bunk Bed,254.0,1,0,0,0,0,0,1,0,1,0,1,Semi,18547
Mg Road,Studio,Queen Bed,320.0,1,1,1,1,1,1,0,0,1,1,1,Unfurnished,33210
Changanassery,Double,Double Bed,132.0,0,0,0,1,1,0,0,0,0,1,1,Fully,17019
Kalamassery,Quad,No Bed,422.0,1,0,0,0,0,1,0,0,1,1,1,Semi,30832
Pala,Double,No Bed,163.0,1,1,0,1,0,0,0,1,0,1,1,Semi,16583
Kozhikode,Studio,Single Bed,307.0,0,1,0,0,1,0,0,1,1,0,1,Fully,25418
Mumbai,Double,King Bed,189.0,0,0,0,1,1,0,1,0,1,1,1,Fully,54720
Edappally,Studio,Double Bed,383.0,1,1,1,0,0,0,1,1,1,1,0,Semi,31224
Thrissur,Studio,Double Bed,383.0,0,1,1,1,0,0,1,0,1,1,0,Semi,26910
Fort Kochi,Double,Queen Bed,162.0,1,0,0,1,0,1,1,0,0,1,1,Fully,28426
Kochi,Quad,King Bed,396.0,1,0,0,0,1,1,1,1,1,0,0,Fully,43181
Fort Kochi,Master,King Bed,206.0,1,1,1,0,0,1,0,1,1,1,1,Fully,33563
Hyderabad,Single,No Bed,122.0,0,1,0,1,0,0,1,0,1,0,0,Semi,18663
Palarivattom,Single,Single Bed,87.0,0,0,0,0,1,1,0,0,0,0,1,Fully,15434
Vyttila,Double,Bunk Bed,161.0,1,0,0,1,1,0,1,0,0,0,0,Unfurnished,19797
Karukachal,Master,Queen Bed,177.0,0,1,1,0,1,1,0,0,0,0,0,Fully,18977
Mumbai,Master,Double Bed,204.0,0,0,1,1,1,0,1,0,1,0,1,Semi,50037
Ranni,Triple,Queen Bed,251.0,1,1,1,1,1,1,1,1,0,1,1,Unfurnished,21738
Mg Road,Quad,Queen Bed,469.0,0,0,1,0,0,0,1,0,0,1,0,Semi,36259
Other,Quad,Double Bed,553.0,0,0,1,1,0,0,1,1,0,0,1,Fully,34438
Kakkanad,Quad,King Bed,548.0,1,1,0,1,0,0,0,1,0,0,0,Unfurnished,37022
Mg Road,Single,Double Bed,83.0,0,1,0,1,1,0,0,0,0,0,1,Semi,15413
Kozhikode,Double,Double Bed,228.0,0,0,0,1,1,0,0,1,1,1,1,Semi,21700
Pala,Studio,No Bed,331.0,0,0,1,1,1,1,1,1,1,1,0,Semi,21257
Ahmedabad,Single,No Bed,80.0,0,0,1,1,0,1,1,0,1,0,0,Fully,16048
